unique_number,id_no,name_en,short_description_en,date_inscribed,danger_list,longitude,latitude,area_hectares,category,states_name_en,name_en,iso_code,udnp_code,transboundary
1130,966,Ischigualasto / Talampaya Natural Parks,"<p>These two contiguous parks, extending over 275,300 ha in the desert region on the western border of the Sierra Pampeanas of central Argentina, contain the most complete continental fossil record known from the Triassic Period (245-208 million years ago). Six geological formations in the parks contain fossils of a wide range of ancestors of mammals, dinosaurs and plants revealing the evolution of vertebrates and the nature of palaeo-environments in the Triassic Period.</p>",2000,,-68.0000000000,-30.0000000000,275369.0000,Natural,Argentina,Latin America and the Caribbean,ar,arg,0
1159,995,Jesuit Block and Estancias of Córdoba,"<p>The Jesuit Block in C&oacute;rdoba, heart of the former Jesuit Province of Paraguay, contains the core buildings of the Jesuit system: the university, the church and residence of the Society of Jesus, and the college. Along with the five estancias, or farming estates, they contain religious and secular buildings, which illustrate the unique religious, social, and economic experiment carried out in the world for a period of over 150 years in the 17th and 18th centuries.</p>",2000,,-64.1911100000,-31.4205600000,38.1200,Cultural,Argentina,Latin America and the Caribbean,ar,arg,0
1295,1116,Quebrada de Humahuaca,"<p>Quebrada de Humahuaca follows the line of a major cultural route, the Camino Inca, along the spectacular valley of the Rio Grande, from its source in the cold high desert plateau of the High Andean lands to its confluence with the Rio Leone some 150 km to the south. The valley shows substantial evidence of its use as a major trade route over the past 10,000 years. It features visible traces of prehistoric hunter-gatherer communities, of the Inca Empire (15th to 16th centuries) and of the fight for independence in the 19th and 20th centuries.</p>",2003,,-65.3488611100,-23.1998611100,172116.4375,Cultural,Argentina,Latin America and the Caribbean,ar,arg,0
920,777,Monasteries of Haghpat and Sanahin,"<p>These two Byzantine monasteries in the Tumanian region from the period of prosperity during the Kiurikian dynasty (10th to 13th century) were important centres of learning. Sanahin was renown for its school of illuminators and calligraphers. The two monastic complexes represent the highest flowering of Armenian religious architecture, whose unique style developed from a blending of elements of Byzantine ecclesiastical architecture and the traditional vernacular architecture of the Caucasian region.</p>",1996,,44.7102800000,41.0950000000,2.6500,Cultural,Armenia,Europe and North America,am,arm,0
1124,960,Monastery of Geghard and the Upper Azat Valley,"<p>The monastery of Geghard contains a number of churches and tombs, most of them cut into the rock, which illustrate the very peak of Armenian medieval architecture. The complex of medieval buildings is set into a landscape of great natural beauty, surrounded by towering cliffs at the entrance to the Azat Valley.</p>",2000,,44.7966700000,40.1588900000,2.7000,Cultural,Armenia,Europe and North America,am,arm,0
1181,1011,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,"<p>The cathedral and churches of Echmiatsin and the archaeological remains at Zvartnots graphically illustrate the evolution and development of the Armenian central-domed cross-hall type of church, which exerted a profound influence on architectural and artistic development in the region.</p>",2000,,44.2951400000,40.1593100000,74.3000,Cultural,Armenia,Europe and North America,am,arm,0
1872,147,Kakadu National Park,"<p>This unique archaeological and ethnological reserve, located in the Northern Territory, has been inhabited continuously for more than 40,000 years. The cave paintings, rock carvings and archaeological sites record the skills and way of life of the region&rsquo;s inhabitants, from the hunter-gatherers of prehistoric times to the Aboriginal people still living there. It is a unique example of a complex of ecosystems, including tidal flats, floodplains, lowlands and plateaux, and provides a habitat for a wide range of rare or endemic species of plants and animals.</p>",1981,,132.8333333000,-12.8333333300,1980994.9200,Mixed,Australia,Asia and the Pacific,au,aus,0
1457,166,Sydney Opera House,"<p>Inaugurated in 1973, the Sydney Opera House is a great architectural work of the 20th century that brings together multiple strands of creativity and innovation in both architectural form and structural design. A great urban sculpture set in a remarkable waterscape, at the tip of a peninsula projecting into Sydney Harbour, the building has had an enduring influence on architecture. The Sydney Opera House comprises three groups of interlocking vaulted &lsquo;shells&rsquo; which roof two main performance halls and a restaurant. These shell-structures are set upon a vast platform and are surrounded by terrace areas that function as pedestrian concourses. In 1957, when the project of the Sydney Opera House was awarded by an international jury to Danish architect J&oslash;rn Utzon, it marked a radically new approach to construction.</p>",2007,,151.2152777777,-33.8566666667,5.8000,Cultural,Australia,Asia and the Pacific,au,aus,0
185,167,Willandra Lakes Region,"<p>The fossil remains of a series of lakes and sand formations that date from the Pleistocene can be found in this region, together with archaeological evidence of human occupation dating from 45&ndash;60,000 years ago. It is a unique landmark in the study of human evolution on the Australian continent. Several well-preserved fossils of giant marsupials have also been found here.</p>",1981,,143.0000000000,-34.0000000000,240000.0000,Mixed,Australia,Asia and the Pacific,au,aus,0
206,186,Lord Howe Island Group,"<p>A remarkable example of isolated oceanic islands, born of volcanic activity more than 2,000 m under the sea, these islands boast a spectacular topography and are home to numerous endemic species, especially birds.</p>",1982,,159.0883333000,-31.5655555600,146300.0000,Natural,Australia,Asia and the Pacific,au,aus,0
422,368,Gondwana Rainforests of Australia,"<p>This site, comprising several protected areas, is situated predominantly along the Great Escarpment on Australia&rsquo;s east coast. The outstanding geological features displayed around shield volcanic craters and the high number of rare and threatened rainforest species are of international significance for science and conservation.</p>",1986,,150.0500000000,-28.2500000000,370000.0000,Natural,Australia,Asia and the Pacific,au,aus,0
519,447,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,"<p>This park, formerly called Uluru (Ayers Rock &ndash; Mount Olga) National Park, features spectacular geological formations that dominate the vast red sandy plain of central Australia. Uluru, an immense monolith, and Kata Tjuta, the rock domes located west of Uluru, form part of the traditional belief system of one of the oldest human societies in the world. The traditional owners of Uluru-Kata Tjuta are the Anangu Aboriginal people.</p>",1987,,131.0000000000,-25.3333333300,132566.0000,Mixed,Australia,Asia and the Pacific,au,aus,0
684,578,"Shark Bay, Western Australia","<p>At the most westerly point of the Australian continent, Shark Bay, with its islands and the land surrounding it, has three exceptional natural features: its vast sea-grass beds, which are the largest (4,800 km2) and richest in the world; its dugong (&lsquo;sea cow&rsquo;) population; and its stromatolites (colonies of algae which form hard, dome-shaped deposits and are among the oldest forms of life on earth). Shark Bay is also home to five species of endangered mammals.</p>",1991,,113.4361111000,-25.4861111100,2200902.0000,Natural,Australia,Asia and the Pacific,au,aus,0
748,630,Fraser Island,"<p>Fraser Island lies just off the east coast of Australia. At 122 km long, it is the largest sand island in the world. Majestic remnants of tall rainforest growing on sand and half the world&rsquo;s perched freshwater dune lakes are found inland from the beach. The combination of shifting sand-dunes, tropical rainforests and lakes makes it an exceptional site.</p>",1992,,153.1333333000,-25.2166666700,184000.0000,Natural,Australia,Asia and the Pacific,au,aus,0
826,698,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),"<p>Riversleigh and Naracoorte, situated in the north and south respectively of eastern Australia, are among the world&rsquo;s 10 greatest fossil sites. They are a superb illustration of the key stages of evolution of Australia&rsquo;s unique fauna.</p>",1994,,138.7166667000,-19.0833333300,10300.0000,Natural,Australia,Asia and the Pacific,au,aus,0
1071,917,Greater Blue Mountains Area,"<p>The Greater Blue Mountains Area consists of 1.03 million ha of sandstone plateaux, escarpments and gorges dominated by temperate eucalypt forest. The site, comprised of eight protected areas, is noted for its representation of the evolutionary adaptation and diversification of the eucalypts in post-Gondwana isolation on the Australian continent. Ninety-one eucalypt taxa occur within the Greater Blue Mountains Area which is also outstanding for its exceptional expression of the structural and ecological diversity of the eucalypts associated with its wide range of habitats. The site provides significant representation of Australia's biodiversity with ten percent of the vascular flora as well as significant numbers of rare or threatened species, including endemic and evolutionary relict species, such as the Wollemi pine, which have persisted in highly-restricted microsites.</p>",2000,,150.0000000000,-33.7000000000,1032649.0000,Natural,Australia,Asia and the Pacific,au,aus,0
1272,1094,Purnululu National Park,"<p>The 239,723 ha Purnululu National Park is located in the State of Western Australia. It contains the deeply dissected Bungle Bungle Range composed of Devonian-age quartz sandstone eroded over a period of 20 million years into a series of beehive-shaped towers or cones, whose steeply sloping surfaces are distinctly marked by regular horizontal bands of dark-grey cyanobacterial crust (single-celled photosynthetic organisms). These outstanding examples of cone karst owe their existence and uniqueness to several interacting geological, biological, erosional and climatic phenomena.</p>",2003,,128.5000000000,-17.5000000000,239723.0000,Natural,Australia,Asia and the Pacific,au,aus,0
1730,1131,Royal Exhibition Building and Carlton Gardens,"<p>The Royal Exhibition Building and its surrounding Carlton Gardens were designed for the great international exhibitions of 1880 and 1888 in Melbourne. The building and grounds were designed by Joseph Reed. The building is constructed of brick and timber, steel and slate. It combines elements from the Byzantine, Romanesque, Lombardic and Italian Renaissance styles. The property is typical of the international exhibition movement which saw over 50 exhibitions staged between 1851 and 1915 in venues including Paris, New York, Vienna, Calcutta, Kingston (Jamaica) and Santiago (Chile). All shared a common theme and aims: to chart material and moral progress through displays of industry from all nations.</p>",2004,,144.9702778000,-37.8061111100,26.0000,Cultural,Australia,Asia and the Pacific,au,aus,0
1648,1306,Australian Convict Sites,"<p>The property includes a selection of eleven penal sites, among the thousands established by the British Empire on Australian soil in the 18<sup>th</sup> and 19<sup>th</sup> centuries. The sites are spread across Australia, from Fremantle in Western Australia to Kingston and Arthur's Vale on Norfolk Island in the east; and from areas around Sydney in New South Wales in the north, to sites located in Tasmania in the south. Around 166,000 men, women and children were sent to Australia over 80 years between 1787 and 1868, condemned by British justice to transportation to the convict colonies. Each of the sites had a specific purpose, in terms both of punitive imprisonment and of rehabilitation through forced labour to help build the colony. The Australian Convict Sites presents the best surviving examples of large-scale convict transportation and the colonial expansion of European powers through the presence and labour of convicts.</p>",2010,,150.9944444444,-33.3783333333,1502.5100,Cultural,Australia,Asia and the Pacific,au,aus,0
1763,1369,Ningaloo Coast,"<p>The 604,500 hectare marine and terrestrial property of Ningaloo Coast, on the remote western coast of Australia, includes one of the longest near-shore reefs in the world. On land the site features an extensive karst system and network of underground caves and water courses. Annual gatherings of whale sharks occur at Ningaloo Coast, which is home to numerous marine species, among them a wealth of sea turtles. The terrestrial part of the site features subterranean water bodies with a substantial network of caves, conduits, and groundwater streams. They support a variety of rare species that contribute to the exceptional biodiversity of the marine and terrestrial site</p>",2011,,113.8102777778,-22.5625000000,705015.0000,Natural,Australia,Asia and the Pacific,au,aus,0
927,784,Historic Centre of the City of Salzburg,"<p>Salzburg has managed to preserve an extraordinarily rich urban fabric, developed over the period from the Middle Ages to the 19th century when it was a city-state ruled by a prince-archbishop. Its Flamboyant Gothic art attracted many craftsmen and artists before the city became even better known through the work of the Italian architects Vincenzo Scamozzi and Santini Solari, to whom the centre of Salzburg owes much of its Baroque appearance. This meeting-point of northern and southern Europe perhaps sparked the genius of Salzburg&rsquo;s most famous son, Wolfgang Amadeus Mozart, whose name has been associated with the city ever since.</p>",1996,,13.0433333300,47.8005555600,236.0000,Cultural,Austria,Europe and North America,at,aut,0
928,785,Semmering Railway,"<p>The Semmering Railway, built over 41 km of high mountains between 1848 and 1854, is one of the greatest feats of civil engineering from this pioneering phase of railway building. The high standard of the tunnels, viaducts and other works has ensured the continuous use of the line up to the present day. It runs through a spectacular mountain landscape and there are many fine buildings designed for leisure activities along the way, built when the area was opened up due to the advent of the railway.</p>",1998,,15.8279722200,47.6487777800,156.1800,Cultural,Austria,Europe and North America,at,aut,0
929,786,Palace and Gardens of Schönbrunn,"<p>From the 18th century to 1918, Sch&ouml;nbrunn was the residence of the Habsburg emperors. It was designed by the architects Johann Bernhard Fischer von Erlach and Nicolaus Pacassi and is full of outstanding examples of decorative art. Together with its gardens, the site of the world&rsquo;s first zoo in 1752, it is a remarkable Baroque ensemble and a perfect example of <em>Gesamtkunstwerk</em></p>
<p>.</p>",1996,,16.3133333300,48.1866666700,186.2800,Cultural,Austria,Europe and North America,at,aut,0
952,806,Hallstatt-Dachstein / Salzkammergut Cultural Landscape,"<p>Human activity in the magnificent natural landscape of the Salzkammergut began in prehistoric times, with the salt deposits being exploited as early as the 2nd millennium BC. This resource formed the basis of the area&rsquo;s prosperity up to the middle of the 20th century, a prosperity that is reflected in the fine architecture of the town of Hallstatt.</p>",1997,,13.6463888900,47.5594444400,28446.2000,Cultural,Austria,Europe and North America,at,aut,0
1724,931,City of Graz – Historic Centre and Schloss Eggenberg,"<p>The City of Graz &ndash; Historic Centre and Schloss Eggenberg bear witness to an exemplary model of the living heritage of a central European urban complex influenced by the secular presence of the Habsburgs and the cultural and artistic role played by the main aristocratic families. They are a harmonious blend of the architectural styles and artistic movements that have succeeded each other from the Middle Ages until the 18th century, from the many neighbouring regions of Central and Mediterranean Europe. They embody a diversified and highly comprehensive ensemble of architectural, decorative and landscape examples of these interchanges of influence.</p>",1999,,15.3916666667,47.0741666667,,Cultural,Austria,Europe and North America,at,aut,0
1134,970,Wachau Cultural Landscape,"<p>The Wachau is a stretch of the Danube Valley between Melk and Krems, a landscape of high visual quality. It preserves in an intact and visible form many traces - in terms of architecture, (monasteries, castles, ruins), urban design, (towns and villages), and agricultural use, principally for the cultivation of vines - of its evolution since prehistoric times.</p>",2000,,15.4341666700,48.3644444400,18387.0000,Cultural,Austria,Europe and North America,at,aut,0
1206,1033,Historic Centre of Vienna,"<p>Vienna developed from early Celtic and Roman settlements into a Medieval and Baroque city, the capital of the Austro-Hungarian Empire. It played an essential role as a leading European music centre, from the great age of Viennese Classicism through the early part of the 20th century. The historic centre of Vienna is rich in architectural ensembles, including Baroque castles and gardens, as well as the late-19th-century Ringstrasse lined with grand buildings, monuments and parks.</p>",2001,,16.3833333300,48.2166666700,371.0000,Cultural,Austria,Europe and North America,at,aut,0
1121,958,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,"<p>Built on a site inhabited since the Palaeolithic period, the Walled City of Baku reveals evidence of Zoroastrian, Sasanian, Arabic, Persian, Shirvani, Ottoman, and Russian presence in cultural continuity. The Inner City (Icheri Sheher) has preserved much of its 12th-century defensive walls. The 12th-century Maiden Tower (Giz Galasy) is built over earlier structures dating from the 7th to 6th centuries BC, and the 15th-century Shirvanshahs' Palace is one of the pearls of Azerbaijan's architecture.</p>",2000,P 2003-2009,49.8333333300,40.3666666700,21.5000,Cultural,Azerbaijan,Europe and North America,az,aze,0
1474,1076,Gobustan Rock Art Cultural Landscape,"<p>Gobustan Rock Art Cultural Landscape covers three areas of a plateau of rocky boulders rising out of the semi-desert of central Azerbaijan, with an outstanding collection of more than 6,000 rock engravings bearing testimony to 40,000 years of rock art. The site also features the remains of inhabited caves, settlements and burials, all reflecting an intensive human use by the inhabitants of the area during the wet period that followed the last Ice Age, from the Upper Paleolithic to the Middle Ages. The site, which covers an area of 537 ha, is part of the larger protected Gobustan Reservation.</p>",2007,,49.3750000000,40.1250000000,537.2200,Cultural,Azerbaijan,Europe and North America,az,aze,0
1623,1192,Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,"<p>Qal&rsquo;at al-Bahrain is a typical tell &ndash; an artificial mound created by many successive layers of human occupation. The strata of the 300 &times; 600 m tell testify to continuous human presence from about 2300 BC to the 16th century AD. About 25% of the site has been excavated, revealing structures of different types: residential, public, commercial, religious and military. They testify to the importance of the site, a trading port, over the centuries. On the top of the 12 m mound there is the impressive Portuguese fort, which gave the whole site its name, qal&rsquo;a (fort). The site was the capital of the Dilmun, one of the most important ancient civilizations of the region. It contains the richest remains inventoried of this civilization, which was hitherto only known from written Sumerian references.</p>",2005,,50.5222200000,26.2330600000,32.0000,Cultural,Bahrain,Arab States,bh,bhr,0
1859,1364,"Pearling, Testimony of an Island Economy","<p><span lang=""EN"">The site consists of seventeen buildings in Muharraq City, three offshore oyster beds, part of the seashore and the Qal&rsquo;at Bu Mahir fortress on the southern tip of Muharraq Island, from where boats used to set off for the oyster beds. The listed buildings include residences of wealthy merchants, shops, storehouses and a mosque. The site is the last remaining complete example of the cultural tradition of pearling and the wealth it generated at a time when the trade dominated the Gulf economy (2</span><span lang=""EN-US"">nd </span><span lang=""EN"">century to the 1930s, when Japan developed cultured pearls). It also constitutes an outstanding example of traditional utilization of the sea&rsquo;s resources and human interaction with the environment, which shaped both the economy and the cultural identity of the island&rsquo;s society.</span></p>",2012,,50.6135100000,26.2412800000,35086.8100,Cultural,Bahrain,Arab States,bh,bhr,0
365,321,Historic Mosque City of Bagerhat,"<p>Situated in the suburbs of Bagerhat, at the meeting-point of the Ganges and Brahmaputra rivers, this ancient city, formerly known as Khalifatabad, was founded by the Turkish general Ulugh Khan Jahan in the 15th century. The city&rsquo;s infrastructure reveals considerable technical skill and an exceptional number of mosques and early Islamic monuments, many built of brick, can be seen there.</p>",1985,,89.8000000000,22.6666700000,0.0000,Cultural,Bangladesh,Asia and the Pacific,bd,bgd,0
366,322,Ruins of the Buddhist Vihara at Paharpur,"<p>Evidence of the rise of Mahayana Buddhism in Bengal from the 7th century onwards, Somapura Mahavira, or the Great Monastery, was a renowned intellectual centre until the 12th century. Its layout perfectly adapted to its religious function, this monastery-city represents a unique artistic achievement. With its simple, harmonious lines and its profusion of carved decoration, it influenced Buddhist architecture as far away as Cambodia.</p>",1985,,88.9833333300,25.0333333300,0.0000,Cultural,Bangladesh,Asia and the Pacific,bd,bgd,0
1786,1376,Historic Bridgetown and its Garrison,"<p>Historic Bridgetown and its Garrison, an outstanding example of British colonial architecture consisting of a well-preserved old town built in the 17th, 18th and 19th centuries, which testifies to the spread of Great Britain's Atlantic colonial empire. The property also includes a nearby military garrison which consists of numerous historic buildings. With its serpentine urban lay-out the property testifies to a different approach to colonial town-planning compared to the Spanish and Dutch colonial cities of the region which were built along a grid plan.</p>",2011,,-59.6138888889,13.0966666667,187.0000,Cultural,Barbados,Latin America and the Caribbean,bb,brb,0
743,625,Mir Castle Complex,"<p>The construction of this castle began at the end of the 15th century, in Gothic style. It was subsequently extended and reconstructed, first in the Renaissance and then in the Baroque style. After being abandoned for nearly a century and suffering severe damage during the Napoleonic period, the castle was restored at the end of the 19th century, with the addition of a number of other elements and the landscaping of the surrounding area as a park. Its present form is graphic testimony to its often turbulent history.</p>",2000,,26.4727222200,53.4510833300,27.0000,Cultural,Belarus,Europe and North America,by,blr,0
1373,1196,"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh","<p>The Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh is located in central Belarus. The Radziwill dynasty, who built and kept the ensemble from the 16th century until 1939, gave birth to some of the most important personalities in European history and culture. Due to their efforts, the town of Nesvizh came to exercise great influence in the sciences, arts, crafts and architecture. The complex consists of the residential castle and the mausoleum Church of Corpus Christi with their setting. The castle has ten interconnected buildings, which developed as an architectural whole around a six-sided courtyard. The palaces and church became important prototypes marking the development of architecture throughout Central Europe and Russia.</p>",2005,,26.6913900000,53.2227800000,0.0000,Cultural,Belarus,Europe and North America,by,blr,0
1006,855,Flemish Béguinages,"<p>The <em>B&eacute;guines</em> were women who dedicated their lives to God without retiring from the world. In the 13th century they founded the <em>b&eacute;guinages</em> , enclosed communities designed to meet their spiritual and material needs. The Flemish <em>b&eacute;guinages</em> are architectural ensembles composed of houses, churches, ancillary buildings and green spaces, with a layout of either urban or rural origin and built in styles specific to the Flemish cultural region. They are a fascinating reminder of the tradition of the <em>B&eacute;guines</em> that developed in north-western Europe in the Middle Ages.</p>",1998,,4.4737500000,51.0309722200,59.9500,Cultural,Belgium,Europe and North America,be,bel,0
1007,856,"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)","<p>The four hydraulic boat-lifts on this short stretch of the historic Canal du Centre are industrial monuments of the highest quality. Together with the canal itself and its associated structures, they constitute a remarkably well-preserved and complete example of a late-19th-century industrial landscape. Of the eight hydraulic boat-lifts built at the end of the 19th and beginning of the 20th century, the only ones in the world which still exist in their original working condition are these four lifts on the Canal du Centre.</p>",1998,,4.1372200000,50.4811100000,67.3436,Cultural,Belgium,Europe and North America,be,bel,0
1008,857,"La Grand-Place, Brussels","<p>La Grand-Place in Brussels is a remarkably homogeneous body of public and private buildings, dating mainly from the late 17th century. The architecture provides a vivid illustration of the level of social and cultural life of the period in this important political and commercial centre.</p>",1998,,4.3524200000,50.8466800000,1.4800,Cultural,Belgium,Europe and North America,be,bel,0
1160,996,Historic Centre of Brugge,"<p>Brugge is an outstanding example of a medieval historic settlement, which has maintained its historic fabric as this has evolved over the centuries, and where original Gothic constructions form part of the town's identity. As one of the commercial and cultural capitals of Europe, Brugge developed cultural links to different parts of the world. It is closely associated with the school of Flemish Primitive painting.</p>",2000,,3.2252700000,51.2089100000,410.0000,Cultural,Belgium,Europe and North America,be,bel,0
1173,1005,Major Town Houses of the Architect Victor Horta (Brussels),"<p>The four major town houses - H&ocirc;tel Tassel, H&ocirc;tel Solvay, H&ocirc;tel van Eetvelde, and Maison &amp; Atelier Horta - located in Brussels and designed by the architect Victor Horta, one of the earliest initiators of Art Nouveau, are some of the most remarkable pioneering works of architecture of the end of the 19th century. The stylistic revolution represented by these works is characterised by their open plan, the diffusion of light, and the brilliant joining of the curved lines of decoration with the structure of the building.</p>",2000,,4.3622300000,50.8280600000,0.0000,Cultural,Belgium,Europe and North America,be,bel,0
1174,1006,Neolithic Flint Mines at Spiennes (Mons),"<p>The Neolithic flint mines at Spiennes, covering more than 100 ha, are the largest and earliest concentration of ancient mines in Europe. They are also remarkable for the diversity of technological solutions used for extraction and for the fact that they are directly linked to a settlement of the same period.</p>",2000,,3.9787900000,50.4307700000,172.0000,Cultural,Belgium,Europe and North America,be,bel,0
1179,1009,Notre-Dame Cathedral in Tournai,"<p>The Cathedral of Notre-Dame in Tournai was built in the first half of the 12th century. It is especially distinguished by a Romanesque nave of extraordinary dimensions, a wealth of sculpture on its capitals and a transept topped by five towers, all precursors of the Gothic style. The choir, rebuilt in the 13th century, is in the pure Gothic style.</p>",2000,,3.3892600000,50.6060300000,0.4963,Cultural,Belgium,Europe and North America,be,bel,0
