Name	Category	Country
Gough and Inaccessible Islands	Natural	United Kingdom of Great Britain and Northern Ireland
Yellowstone National Park	Natural	United States of America
Grand Canyon National Park	Natural	United States of America
Everglades National Park	Natural	United States of America
Redwood National and State Parks	Natural	United States of America
Mammoth Cave National Park	Natural	United States of America
Olympic National Park	Natural	United States of America
Great Smoky Mountains National Park	Natural	United States of America
Yosemite National Park	Natural	United States of America
Hawaii Volcanoes National Park	Natural	United States of America
Carlsbad Caverns National Park	Natural	United States of America
Canaima National Park	Natural	Venezuela (Bolivarian Republic of)
Ha Long Bay	Natural	Viet Nam
Phong Nha-Ke Bang National Park	Natural	Viet Nam
Socotra Archipelago	Natural	Yemen
Mana Pools National Park, Sapi and Chewore Safari Areas	Natural	Zimbabwe
Península Valdés	Natural	Argentina,Argentina,Argentina,Argentina
Wet Tropics of Queensland	Natural	Australia,Australia
Heard and McDonald Islands	Natural	Australia,Australia
Macquarie Island	Natural	Australia,Australia
Great Barrier Reef	Natural	Australia,Australia,Australia
The Sundarbans	Natural	Bangladesh,Bangladesh
Canadian Rocky Mountain Parks	Natural	Canada,Canada
Sangha Trinational	Natural	Congo,Central African Republic,Cameroon
Area de Conservación Guanacaste	Natural	Costa Rica,Costa Rica
Talamanca Range-La Amistad Reserves / La Amistad National Park	Natural	Costa Rica,Panama
Taï National Park	Natural	Côte d'Ivoire,Côte d'Ivoire
Comoé National Park	Natural	Côte d'Ivoire,Côte d'Ivoire
Mount Nimba Strict Nature Reserve	Natural	Côte d'Ivoire,Guinea
Alejandro de Humboldt National Park	Natural	Cuba,Cuba
Galápagos Islands	Natural	Ecuador,Ecuador
Sangay National Park	Natural	Ecuador,Ecuador
Wadi Al-Hitan (Whale Valley)	Natural	Egypt,Egypt
Primeval Beech Forests of the Carpathians and the Ancient Beech Forests of  Germany	Natural	Germany,Slovakia,Ukraine
Sundarbans National Park	Natural	India,India
Tropical Rainforest Heritage of Sumatra	Natural	Indonesia,Indonesia
Lorentz National Park	Natural	Indonesia,Indonesia,Indonesia,Indonesia
Komodo National Park	Natural	Indonesia,Indonesia,Indonesia,Indonesia,Indonesia
Tsingy de Bemaraha Strict Nature Reserve	Natural	Madagascar,Madagascar
Uvs Nuur Basin	Natural	Mongolia,Mongolia,Russian Federation,Russian Federation
Sagarmatha National Park	Natural	Nepal,Nepal,Nepal
The Wadden Sea	Natural	Netherlands,Germany
Te Wahipounamu – South West New Zealand	Natural	New Zealand,New Zealand,New Zealand
Air and Ténéré Natural Reserves	Natural	Niger,Niger
Huascarán National Park	Natural	Peru,Peru,Peru
Tubbataha Reefs Natural Park	Natural	Philippines,Philippines
Belovezhskaya Pushcha / Białowieża Forest	Natural	Poland,Poland,Belarus,Belarus
Golden Mountains of Altai	Natural	Russian Federation,Russian Federation
Natural System of Wrangel Island Reserve	Natural	Russian Federation,Russian Federation
Pitons Management Area	Natural	Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia
Aldabra Atoll	Natural	Seychelles,Seychelles
Caves of Aggtelek Karst and Slovak Karst	Natural	Slovakia,Hungary
iSimangaliso Wetland Park	Natural	South Africa,South Africa,South Africa
Cape Floral Region Protected Areas	Natural	South Africa,South Africa,South Africa,South Africa,South Africa,South Africa
Doñana National Park	Natural	Spain,Spain,Spain,Spain
Sinharaja Forest Reserve	Natural	Sri Lanka,Sri Lanka
High Coast / Kvarken Archipelago	Natural	Sweden,Finland
Monte San Giorgio	Natural	Switzerland,Italy
Ichkeul National Park	Natural	Tunisia,Tunisia,Tunisia,Tunisia,Tunisia
Dorset and East Devon Coast	Natural	United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland
Waterton Glacier International Peace Park	Natural	United States of America,United States of America,Canada,Canada
Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek	Natural	United States of America,United States of America,United States of America,Canada,Canada,Canada
Mosi-oa-Tunya / Victoria Falls	Natural	Zambia,Zimbabwe
